[INFO 1:11:51 PM] miguelsolorio.symbols activated
[INFO 1:11:51 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:51 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:51 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:51 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:52 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:52 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:52 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:52 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:52 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:52 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:52 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:53 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:53 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:53 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:53 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:53 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:53 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:53 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:53 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:54 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:54 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:54 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:54 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:55 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:55 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:55 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:55 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:56 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:56 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:56 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:56 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:12:10 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:12:10 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:12:10 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:12:10 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:12:27 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:12:27 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:12:27 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:12:27 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:12:28 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:12:28 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:12:28 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:12:28 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:15:34 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:15:34 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:15:34 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:15:34 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:18:55 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:18:55 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:18:55 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:18:55 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:19:26 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:19:26 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:19:26 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:19:26 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:19:58 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:19:58 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:19:58 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:19:58 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:22:00 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:22:00 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:22:00 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:22:00 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:22:53 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:22:53 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:22:53 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:22:53 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:23:16 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:23:16 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:23:16 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:23:16 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:23:19 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:23:19 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:23:19 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:23:19 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:23:32 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:23:32 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:23:32 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:23:32 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:23:32 PM] 🤖 symbols.defaultAssociations changed, updating to true
