[INFO 10:24:57 PM] miguelsolorio.symbols activated
[INFO 10:24:57 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 10:24:57 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:24:57 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:24:57 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 10:24:58 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 10:24:58 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:24:58 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:24:58 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:34:03 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:34:03 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:34:03 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:34:03 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:34:47 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:34:47 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:34:47 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:34:47 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:35:37 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:35:37 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:37 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:35:37 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:35:40 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:35:40 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:40 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:35:40 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:35:42 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:35:42 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:42 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:35:42 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:35:45 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:35:45 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:45 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:35:45 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:38:41 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:38:41 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:38:41 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:38:41 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:38:45 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:38:45 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:38:45 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:38:45 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:38:56 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:38:56 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:38:56 AM] 🤖 symbols.folders.associations changed, updating to undefined
