[INFO 1:03:53 PM] miguelsolorio.symbols activated
[INFO 1:03:53 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:03:53 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:53 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:03:53 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:03:54 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:03:54 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:54 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:03:54 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:03:56 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:03:56 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:56 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:03:56 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:18 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:18 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:18 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:18 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:23 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:23 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:23 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:23 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:24 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:24 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:24 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:24 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:43 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:43 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:43 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:43 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:49 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:49 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:49 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:49 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:04:50 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:04:50 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:04:50 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:04:50 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:07:44 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:07:44 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:07:44 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:07:44 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:00 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:00 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:00 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:00 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:10 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:10 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:10 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:10 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:14 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:14 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:14 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:14 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:18 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:18 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:18 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:18 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:22 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:22 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:22 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:22 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:26 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:26 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:26 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:26 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:10:56 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:10:56 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:56 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:10:56 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:03 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:03 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:03 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:03 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:04 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:04 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:04 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:11:04 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:11:08 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:11:08 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
